,Predicted output,Actual output
399,0.11184612,0.147612246
400,0.009859711,0.010101103
401,0.108273715,0.084097492
402,0.053793103,0.037338367
403,0.07422164,0.064723412
404,0.16651052,0.174442236
405,0.03294924,0.048698914
406,0.019163579,0.018976892
407,0.14589357,0.161726786
408,0.015953481,0.023735888
409,0.015395284,0.012995844
410,0.013786137,0.020158557
411,0.07221869,0.042205899
412,0.04382813,0.06362831
413,0.64427423,0.627019254
414,0.38270864,0.392384903
415,0.17921162,0.163182064
416,0.007866621,0.009002052
417,0.028907776,0.030894533
418,0.00885424,0.012670802
419,0.1092065,0.144557835
420,0.08038449,0.095679028
421,0.22027695,0.182855827
422,0.007673472,0.009764001
423,0.23492536,0.28964455
424,0.0074732006,0.004908728
425,0.012951523,0.00744403
426,0.022375166,0.020375125
427,0.062066734,0.055894633
428,0.024348766,0.018955424
429,0.015228361,0.017978991
430,0.06450218,0.036485512
431,0.005723268,0.007704996
432,0.046126604,0.037579056
433,0.008814782,0.010121895
434,0.05492711,0.048830753
435,0.0074732006,0.004499878
436,0.021224618,0.017600872
437,0.055760533,0.048952474
438,0.018672585,0.018815193
439,0.031642467,0.027036544
440,0.075775355,0.062931206
441,0.008121163,0.007712705
442,0.007866621,0.00683891
443,0.038500637,0.042314197
444,0.012571067,0.012077816
445,0.019558877,0.016707345
446,0.018037677,0.022990587
447,0.008133322,0.008998024
448,0.089684665,0.095345543
449,0.025292546,0.024817208
450,0.019163579,0.0143053
451,0.0053944886,0.016205355
452,0.13723168,0.108998489
453,0.012902081,0.015630429
454,0.010732651,0.013165161
455,0.02031964,0.014936379
456,0.0074732006,0.009618695
457,0.025638461,0.034805832
458,0.028646886,0.015256511
459,0.035877526,0.023242423
460,0.012422085,0.016949623
461,0.051287174,0.055562285
462,0.008128464,0.015059549
463,0.005966902,0.006205847
464,0.14976469,0.09945158
465,0.023584634,0.015454202
466,0.16057846,0.159956017
467,0.04987237,0.049106838
468,0.012015879,0.015731368
469,0.021728307,0.0120037
470,0.02536565,0.020975813
471,0.17341667,0.133677243
472,0.004349053,0.006677654
473,0.01748696,0.01979276
474,0.033975184,0.032666448
